Name,Content
Наказателно право,"Престъпление е това общественоопасно деяние (действие или бездействие), което е извършено виновно и е обявено от закона за наказуемо."
Наказателно право,"Общественоопасно е деянието, което застрашава или уврежда личността, правата на гражданите, собствеността, установения с Конституцията правов ред в Република България или други интереси, защитени от правото."
Наказателно право,"Общественоопасното деяние е извършено виновно, когато е умишлено или непредпазливо."
Наказателно право,"Деянието е умишлено, когато деецът е съзнавал общественоопасния му характер, предвиждал е неговите общественоопасни последици и е искал или допускал настъпването на тези последици."
Наказателно право,"Деянието е непредпазливо, когато деецът не е предвиждал настъпването на общественоопасните последици, но е бил длъжен и е могъл да ги предвиди, или когато е предвиждал настъпването на тези последици, но е мислил да ги предотврати."
Наказателно право,"Приготовление е подготвянето на средства, намирането на съучастници и изобщо създаването на условия за извършване на намисленото престъпление, преди да е почнало неговото изпълнение."
Наказателно право,"Опитът е започнатото изпълнение на умишлено престъпление, при което изпълнителното деяние не е довършено или макар и да е довършено, не са настъпили предвидените в закона и искани от дееца общественоопасни последици на това престъпление."
Наказателно право,"При опит деецът се наказва с наказанието, предвидено за довършеното престъпление, като се взема предвид степента на осъществяване на намерението и причините, поради които престъплението е останало недовършено."
Наказателно право,"Съучастници в извършването на умишлено престъпление са извършителите, подбудителите и помагачите."
Наказателно право,"Извършител е този, който участвува в самото изпълнение на престъплението."
Наказателно право,"Подбудител е този, който умишлено е склонил другиго да извърши престъплението."
Наказателно право,"Помагач е този, който умишлено е улеснил извършването на престъплението чрез съвети, разяснения, обещание да се даде помощ след деянието, отстраняване на спънки, набавяне на средства или по друг начин."
Наказателно право,"Всички съучастници се наказват с наказанието, предвидено за извършеното престъпление, като се вземат предвид характерът и степента на тяхното участие."
Наказателно право,"Подбудителят и помагачът отговарят само за онова, за което умишлено са подбудили или подпомогнали извършителя."
Наказателно право,"Когато поради определено лично свойство или отношение на дееца законът възвежда извършеното деяние в престъпление, за това престъпление отговарят и подбудителят, и помагачът, за които тези обстоятелства не са налице."
Наказателно право,"Ако с едно деяние са извършени няколко престъпления или ако едно лице е извършило няколко отделни престъпления, преди да е имало влязла в сила присъда за което и да е от тях, съдът, след като определи наказание за всяко престъпление отделно, налага най-тежкото от тях."
Наказателно право,"Когато едно лице извърши престъпление, след като е осъдено с влязла в сила присъда на лишаване от свобода, но преди да е изтърпяло това наказание, съдът присъединява към неизтърпяната част изцяло или отчасти наказанието по втората присъда, ако то е лишаване от свобода. Определеното общо наказание не може да бъде по-малко от наказанието по втората присъда."
Наказателно право,"Наказателноотговорно е пълнолетното лице - навършило 18-годишна възраст, което в състояние на вменяемост извърши престъпление."
Наказателно право,"Непълнолетно лице - навършило 14 години, но ненавършило 18 години - е наказателноотговорно, ако е могло да разбира свойството и значението на деянието и да ръководи постъпките си."
Наказателно право,"Непълнолетните, на които деянието не може да се вмени във вина, се настаняват по решение на съда във възпитателно училище-интернат или в друго подходящо заведение, ако това се налага от обстоятелствата на случая."
Наказателно право,"Не е наказателноотговорно малолетното лице - ненавършило 14-годишна възраст."
Наказателно право,"Не е наказателноотговорно лицето, което действува в състояние на невменяемост - когато поради умствена недоразвитост или продължително или краткотрайно разстройство на съзнанието не е могло да разбира свойството или значението на извършеното или да ръководи постъпките си."
Наказателно право,"Не се налага наказание на лице, което е извършило престъпление, когато до произнасяне на присъдата изпадне в разстройство на съзнанието, вследствие на което не може да разбира свойството или значението на своите постъпки или да ги ръководи. Такова лице подлежи на наказание, ако оздравее."
Наказателно право,"Наказанието доживотен затвор без замяна, предвидено в особената част за даден вид престъпление, се налага само ако конкретно извършеното престъпление е изключително тежко и посочените в чл. 36 цели не могат да бъдат постигнати чрез по-леко наказание."
Наказателно право,"Наказанието доживотен затвор без замяна не може да се наложи на лице, което по време на извършване на престъплението не е навършило двадесет години, а по отношение на военнослужещите, както и във военно време - осемнадесет години. Наказанието доживотен затвор без замяна не може да се наложи и на жена, която се е намирала в състояние на бременност по време на извършване на престъплението или на постановяване на присъдата."
Наказателно право,"Пробационната мярка задължителна регистрация по настоящ адрес е явяване и подписване на осъдения пред пробационния служител или определено от него длъжностно лице в съответствие с определената от съда периодичност, но не по-малко от два пъти седмично."
Наказателно право,"Пробационната мярка задължителни периодични срещи с пробационен служител се провежда в пробационната служба, на чиято територия е настоящият адрес на осъдения. По изключение те може да се проведат на друго подходящо място, определено от пробационния служител, ако важни причини налагат това. Срещите са планирани или извънредни по искане на пробационния служител или осъдения."
Наказателно право,"Пробационната мярка ограничения в свободното придвижване е налагане на една или няколко от следните забрани за:"
Наказателно право,"Пробационната мярка поправителен труд се изпълнява по местоработата на осъдения и включва удръжки върху възнаграждението му от 10 до 25 на сто в полза на държавата. Времето, през което се изтърпява мярката, не се зачита за трудов стаж."
Наказателно право,"Когато осъденият остане без работа, съдът заменя остатъка от поправителния труд с безвъзмезден труд в полза на обществото, като за един ден от остатъка се определя един час безвъзмезден труд."
Наказателно право,"Предсрочно освобождаване"
Наказателно право,"Съдът налага наказание лишаване от свобода до три години, той може да отложи изпълнението на наложеното наказание за срок от три до пет години, ако лицето не е осъждано на лишаване от свобода за престъпление от общ характер и ако съдът намери, че за постигане целите на наказанието и преди всичко за поправянето на осъдения не е наложително да изтърпи наказанието."
Наказателно право,"Ако до изтичане на определения от съда изпитателен срок осъденият извърши друго умишлено престъпление от общ характер, за което, макар и след този срок, му бъде наложено наказание лишаване от свобода, той изтърпява и отложеното наказание."
Наказателно право,"Помилване"
Наказателно право,"Президентът може чрез помилване да опрости изцяло или отчасти наложеното наказание, а смъртното наказание, доживотния затвор без замяна и доживотния затвор - да опрости или замени."
Наказателно право,"РЕАБИЛИТАЦИЯ"
Наказателно право,"ПРИНУДИТЕЛНИ МЕДИЦИНСКИ МЕРКИ"
Наказателно право,"По отношение на лице, извършило общественоопасно деяние в състояние на невменяемост или изпаднало в такова състояние преди постановяване на присъдата или през време на изтърпяване на наказанието, съдът може да постанови:предаване на близките, ако поемат задължение за лекуването му под наблюдение на психо-неврологически диспансер;,принудително лекуване в обикновено психо-неврологическо заведение;,принудително лекуване в специална психиатрическа болница или в специално отделение в обикновено психо-неврологическо заведение."
Наказателно право,"Принудителното лекуване в обикновено психо-неврологическо заведение може да бъде постановено от съда по отношение на душевно болен, който с оглед на неговото психическо състояние и на характера на извършеното общественоопасно деяние се нуждае от болнични грижи и лекуване по принудителен ред."
Наказателно право,"Принудителното лекуване в специална психиатрическа болница или в специално отделение може да бъде постановено от съда по отношение на душевно болен, който с оглед на своето психическо състояние и на характера на извършеното общественоопасно деяние се явява особено опасен за обществото или за своите близки. В тези случаи лицето се държи под усилен надзор, изключващ възможността то да извърши ново общественоопасно деяние."
Наказателно право,"Когато престъплението е извършено от лице, което страда от алкохолизъм или от друга наркомания, съдът може наред с наказанието да постанови и принудително лекуване."
Наказателно право,"Когато е наложено наказание без лишаване от свобода, принудителното лекуване се извършва в медицински заведения със специален лечебен и трудов режим."
Наказателно право,"Принудителното лекуване на осъдените на лишаване от свобода се провежда през време на изпълнение на наказанието. Срокът за принудителното лекуване се приспада от срока на лишаването от свобода."
Наказателно право,"Който с цел да бъде съборена, подровена или отслабена властта в републиката участвува в извършването на опит за преврат за насилствено завземане на властта в центъра или по места, или в бунт, или във въоръжено въстание, се наказва с лишаване от свобода от десет до двадесет години, с доживотен затвор или с доживотен затвор без замяна."
Наказателно право,"Който с цел да подрови или отслаби властта в републиката или да и създаде затруднения лиши от живот държавен или обществен деятел, се наказва с лишаване от свобода двадесет години, с доживотен затвор или с доживотен затвор без замяна."
Наказателно право,"Който подбужда чужда държава или обществена група в чужбина към война или друго враждебно действие против Републиката, се наказва с лишаване от свобода от пет до петнадесет години."
Наказателно право,"Който лиши от живот представител на чужда държава с цел да предизвика война или международни усложнения срещу републиката, се наказва с лишаване от свобода от десет до двадесет години, с доживотен затвор или с доживотен затвор без замяна."
Наказателно право,"За тежка телесна повреда на такова лице със същата цел наказанието е лишаване от свобода от пет до петнадесет години."
