name,content
"Наказателно право","брутална агресия между тийнейджъри в столичен мол. Младежи пребиха момиче и сами заснеха деянието"
"Наказателно право","нападнаха ме и ме пребиха"
"Наказателно право","нападнаха ме и ме набиха"
"Наказателно право","нападение"
"Наказателно право","Обвинителният акт (публично обвиниение) се повдига в наказателно производство от прокуратурата, ако след предварителното разследване има достатъчно подозрение, че обвиняемият е извършил престъпление."
"Наказателно право","Връчиха ми обвинителен акт"
"Наказателно право","обвиняват ме в престъпление"
"Наказателно право","получих обвинителен акт"
"Наказателно право","нападнаха с нож"
"Наказателно право","Мъж и жена пребиха почти до смърт свой съселянин"
"Наказателно право","пребит почти до смърт"
"Наказателно право","Възрастна жена и синът ѝ са пострадали след нападение в дома им в пловдивското село Скутаре. При опита за грабеж снощи двама души нахлули в къщата им, която е в края на селото и се опитали да вземат наличните им пари."
"Наказателно право","Крадци нападнаха възрастна жена и сина и"
"Наказателно право","Обида и клевета са престъпления против честта и достойнството на гражданите"
"Наказателно право","Клевета представлява разгласяване на позорно обстоятелство за другиго или приписването на престъпление. &nbsp;Именно това са и двете форми на изпълнително деяние – разгласяване на позорно обстоятелство или приписване на престъпление. За разлика от обидата тук не се касае за оценка към пострадалия, а факт при това позорен. Тоест, при обидата деецът квалифицира пострадалия по презрителен начин, доколкото при клеветата разгласява неверни факти за него преди други лица."
"Наказателно право","Както вече уточнихме, за да е налице престъплението клевета е нужно разгласяваните обстоятелства да са неверни"
"Наказателно право","За да е налице клевета, неверните факти трябва да са разпространени пред трето лице, различно от пострадалия. Достатъчно е неверните твърдения да са изречени пред един човек, за да е изпълнен съставът на престъплението клевета, т.е. не е нужно тяхното разпространение сред множество лица."
"Наказателно право","Това престъпление следва да се разграничава от набеждаването, което е престъпление от общ характер и се преследва от прокуратурата. При набеждаването, за разлика от клеветата, се нарушава не честта на пострадалия, а интересите на правосъдието. Субективната страна на двете престъпления също е различна, при клеветата деецът цели оклеветяването на пострадалия, доколкото при набеждаването – неговото наказване. Единственото изключение е когато разгласяването на неверни обстоятелства се извършва в рамките на депозирани свидетелски показания по висящо дело пред съд, независимо дали тези обстоятелства са клеветнически по своето съдържание. Тогава деецът извършва престъпление против правосъдието – лъжесвидетелстване"
"Наказателно право","За да се счита клеветата за публична е необходимо на мястото, където е нанесена да са присъствали минимум две лица, които са могли да възприемат казаното или извършеното. В този случай няма значение дали мястото е обществено или не. Така престъплението може да бъде извършено дори в общ чат, видеоконферентен чат или по друг подобен начин."
